Loss,CI,CTD,IBS,T-train,T-test,ModelName,DatasetName
1.1714990139007568,0.7935460866464611,0.7795535090174291,0.3882568521058137,0.6706249713897705,0.13019466400146484,Baseline,WHAS
1.0202122926712036,0.7748261722232127,0.7630029999987328,0.36809123860739695,0.550980806350708,0.11710619926452637,Baseline,WHAS
0.987869381904602,0.7974683544303798,0.7834368014043648,0.3186328995683842,0.5397436618804932,0.11996316909790039,Baseline,WHAS
1.0701987743377686,0.7931895168479229,0.7741909223741172,0.29176694361241556,0.5350430011749268,0.1147909164428711,Baseline,WHAS
0.9280465841293335,0.782135853093243,0.7575656967222929,0.3076847310703649,0.5439512729644775,0.11203861236572266,Baseline,WHAS
1.6257002353668213,0.6129434836869317,0.6103340946607224,0.46151572823910453,0.6240074634552002,6.80998158454895,MC,WHAS
1.110626459121704,0.7067213407024425,0.7068010985250602,0.5507326746258653,0.6087386608123779,7.706335544586182,MC,WHAS
1.1243622303009033,0.7898021037618114,0.7843571838072755,0.40104190940712175,0.718085527420044,8.341370105743408,MC,WHAS
1.017892837524414,0.8012123373150294,0.7986322132190488,0.43642345690120715,0.6419093608856201,7.605363607406616,MC,WHAS
0.8492742776870728,0.798716348725263,0.7881500515621588,0.3252361703078069,0.6839866638183594,8.593234539031982,MC,WHAS
